"epoch","noble-shadow-43 - _step","noble-shadow-43 - _step__MIN","noble-shadow-43 - _step__MAX","noble-shadow-43 - class_00/precision","noble-shadow-43 - class_00/precision__MIN","noble-shadow-43 - class_00/precision__MAX","noble-shadow-43 - class_01/precision","noble-shadow-43 - class_01/precision__MIN","noble-shadow-43 - class_01/precision__MAX","noble-shadow-43 - class_02/precision","noble-shadow-43 - class_02/precision__MIN","noble-shadow-43 - class_02/precision__MAX","noble-shadow-43 - class_03/precision","noble-shadow-43 - class_03/precision__MIN","noble-shadow-43 - class_03/precision__MAX","noble-shadow-43 - class_04/precision","noble-shadow-43 - class_04/precision__MIN","noble-shadow-43 - class_04/precision__MAX","noble-shadow-43 - class_05/precision","noble-shadow-43 - class_05/precision__MIN","noble-shadow-43 - class_05/precision__MAX","noble-shadow-43 - class_06/precision","noble-shadow-43 - class_06/precision__MIN","noble-shadow-43 - class_06/precision__MAX","noble-shadow-43 - class_07/precision","noble-shadow-43 - class_07/precision__MIN","noble-shadow-43 - class_07/precision__MAX","noble-shadow-43 - class_08/precision","noble-shadow-43 - class_08/precision__MIN","noble-shadow-43 - class_08/precision__MAX","noble-shadow-43 - class_09/precision","noble-shadow-43 - class_09/precision__MIN","noble-shadow-43 - class_09/precision__MAX","noble-shadow-43 - class_10/precision","noble-shadow-43 - class_10/precision__MIN","noble-shadow-43 - class_10/precision__MAX","noble-shadow-43 - class_11/precision","noble-shadow-43 - class_11/precision__MIN","noble-shadow-43 - class_11/precision__MAX","noble-shadow-43 - class_12/precision","noble-shadow-43 - class_12/precision__MIN","noble-shadow-43 - class_12/precision__MAX","noble-shadow-43 - class_13/precision","noble-shadow-43 - class_13/precision__MIN","noble-shadow-43 - class_13/precision__MAX","noble-shadow-43 - class_14/precision","noble-shadow-43 - class_14/precision__MIN","noble-shadow-43 - class_14/precision__MAX","noble-shadow-43 - class_15/precision","noble-shadow-43 - class_15/precision__MIN","noble-shadow-43 - class_15/precision__MAX","noble-shadow-43 - class_16/precision","noble-shadow-43 - class_16/precision__MIN","noble-shadow-43 - class_16/precision__MAX","noble-shadow-43 - class_17/precision","noble-shadow-43 - class_17/precision__MIN","noble-shadow-43 - class_17/precision__MAX","noble-shadow-43 - class_18/precision","noble-shadow-43 - class_18/precision__MIN","noble-shadow-43 - class_18/precision__MAX","noble-shadow-43 - class_19/precision","noble-shadow-43 - class_19/precision__MIN","noble-shadow-43 - class_19/precision__MAX","noble-shadow-43 - class_20/precision","noble-shadow-43 - class_20/precision__MIN","noble-shadow-43 - class_20/precision__MAX","noble-shadow-43 - class_21/precision","noble-shadow-43 - class_21/precision__MIN","noble-shadow-43 - class_21/precision__MAX","noble-shadow-43 - class_22/precision","noble-shadow-43 - class_22/precision__MIN","noble-shadow-43 - class_22/precision__MAX","noble-shadow-43 - class_23/precision","noble-shadow-43 - class_23/precision__MIN","noble-shadow-43 - class_23/precision__MAX","noble-shadow-43 - class_24/precision","noble-shadow-43 - class_24/precision__MIN","noble-shadow-43 - class_24/precision__MAX","noble-shadow-43 - class_25/precision","noble-shadow-43 - class_25/precision__MIN","noble-shadow-43 - class_25/precision__MAX","noble-shadow-43 - class_26/precision","noble-shadow-43 - class_26/precision__MIN","noble-shadow-43 - class_26/precision__MAX","noble-shadow-43 - class_27/precision","noble-shadow-43 - class_27/precision__MIN","noble-shadow-43 - class_27/precision__MAX","noble-shadow-43 - class_28/precision","noble-shadow-43 - class_28/precision__MIN","noble-shadow-43 - class_28/precision__MAX","noble-shadow-43 - class_29/precision","noble-shadow-43 - class_29/precision__MIN","noble-shadow-43 - class_29/precision__MAX","noble-shadow-43 - class_30/precision","noble-shadow-43 - class_30/precision__MIN","noble-shadow-43 - class_30/precision__MAX","noble-shadow-43 - class_31/precision","noble-shadow-43 - class_31/precision__MIN","noble-shadow-43 - class_31/precision__MAX","noble-shadow-43 - class_32/precision","noble-shadow-43 - class_32/precision__MIN","noble-shadow-43 - class_32/precision__MAX","noble-shadow-43 - class_33/precision","noble-shadow-43 - class_33/precision__MIN","noble-shadow-43 - class_33/precision__MAX","noble-shadow-43 - class_34/precision","noble-shadow-43 - class_34/precision__MIN","noble-shadow-43 - class_34/precision__MAX","noble-shadow-43 - class_35/precision","noble-shadow-43 - class_35/precision__MIN","noble-shadow-43 - class_35/precision__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2136125654450262","0.2136125654450262","0.2136125654450262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4104803493449782","0.4104803493449782","0.4104803493449782","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.20114942528735633","0.20114942528735633","0.20114942528735633","0.3424657534246575","0.3424657534246575","0.3424657534246575","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7735849056603774","0.7735849056603774","0.7735849056603774","0.4880803011292346","0.4880803011292346","0.4880803011292346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.17073170731707318","0.17073170731707318","0.17073170731707318","0.2929936305732484","0.2929936305732484","0.2929936305732484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.32","0.32","0.32","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0.9166666666666666","0.9166666666666666","0.9166666666666666","0","0","0","0","0","0","1","1","1","0.8469387755102041","0.8469387755102041","0.8469387755102041","0.5068681318681318","0.5068681318681318","0.5068681318681318","0","0","0","0.25","0.25","0.25","0","0","0","0","0","0","0","0","0","0","0","0"
"4","4","4","4","0.3","0.3","0.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3541666666666667","0.3541666666666667","0.3541666666666667","0.29765013054830286","0.29765013054830286","0.29765013054830286","0","0","0","0","0","0","0.7142857142857143","0.7142857142857143","0.7142857142857143","0","0","0","1","1","1","0","0","0","0","0","0","0.38461538461538464","0.38461538461538464","0.38461538461538464","0","0","0","0","0","0","0","0","0","0.13333333333333333","0.13333333333333333","0.13333333333333333","0","0","0","1","1","1","0.8461538461538461","0.8461538461538461","0.8461538461538461","0","0","0","0","0","0","1","1","1","0.9010989010989011","0.9010989010989011","0.9010989010989011","0.573208722741433","0.573208722741433","0.573208722741433","0","0","0","0","0","0","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0","0","0"
"5","5","5","5","0.25","0.25","0.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.49504950495049505","0.49504950495049505","0.49504950495049505","0.3728813559322034","0.3728813559322034","0.3728813559322034","0","0","0","0","0","0","0.5294117647058824","0.5294117647058824","0.5294117647058824","1","1","1","0.4","0.4","0.4","0","0","0","0","0","0","0.5","0.5","0.5","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","1","1","1","0.2","0.2","0.2","0","0","0","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.8461538461538461","0.8461538461538461","0.8461538461538461","0","0","0","0","0","0","1","1","1","0.8876404494382022","0.8876404494382022","0.8876404494382022","0.6162790697674418","0.6162790697674418","0.6162790697674418","0","0","0","1","1","1","0","0","0","0.68","0.68","0.68","0.75","0.75","0.75","0","0","0"
"6","6","6","6","0.30994152046783624","0.30994152046783624","0.30994152046783624","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6421568627450981","0.6421568627450981","0.6421568627450981","0.4355400696864111","0.4355400696864111","0.4355400696864111","0","0","0","0","0","0","0.3880597014925373","0.3880597014925373","0.3880597014925373","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0.72","0.72","0.72","1","1","1","0.2","0.2","0.2","0","0","0","0.8461538461538461","0.8461538461538461","0.8461538461538461","0.8461538461538461","0.8461538461538461","0.8461538461538461","0","0","0","0","0","0","1","1","1","0.9010989010989011","0.9010989010989011","0.9010989010989011","0.6494464944649446","0.6494464944649446","0.6494464944649446","0","0","0","0.6","0.6","0.6","0","0","0","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.75","0.75","0.75","0","0","0"
"7","7","7","7","0.4144736842105263","0.4144736842105263","0.4144736842105263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6133333333333333","0.6133333333333333","0.6133333333333333","0.6257668711656442","0.6257668711656442","0.6257668711656442","0","0","0","0","0","0","0.3181818181818182","0.3181818181818182","0.3181818181818182","0.6","0.6","0.6","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.5909090909090909","0.5909090909090909","0.5909090909090909","0.6","0.6","0.6","0.5","0.5","0.5","0","0","0","0.6842105263157895","0.6842105263157895","0.6842105263157895","1","1","1","0.18181818181818182","0.18181818181818182","0.18181818181818182","0","0","0","0.8461538461538461","0.8461538461538461","0.8461538461538461","0.8571428571428571","0.8571428571428571","0.8571428571428571","0","0","0","0","0","0","1","1","1","0.83","0.83","0.83","0.6379928315412187","0.6379928315412187","0.6379928315412187","0.6","0.6","0.6","0.5555555555555556","0.5555555555555556","0.5555555555555556","0","0","0","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.5","0.5","0.5","0","0","0"
"8","8","8","8","0.3836477987421384","0.3836477987421384","0.3836477987421384","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.6792452830188679","0.6792452830188679","0.6792452830188679","0.632258064516129","0.632258064516129","0.632258064516129","0","0","0","0.65","0.65","0.65","0.47368421052631576","0.47368421052631576","0.47368421052631576","0.5","0.5","0.5","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.5","0.5","0.5","0.62","0.62","0.62","0.5","0.5","0.5","0","0","0","0.6842105263157895","0.6842105263157895","0.6842105263157895","1","1","1","0.3076923076923077","0.3076923076923077","0.3076923076923077","0","0","0","0.7333333333333333","0.7333333333333333","0.7333333333333333","0.8571428571428571","0.8571428571428571","0.8571428571428571","0","0","0","0","0","0","1","1","1","0.9195402298850575","0.9195402298850575","0.9195402298850575","0.6519337016574586","0.6519337016574586","0.6519337016574586","0.8","0.8","0.8","0.5833333333333334","0.5833333333333334","0.5833333333333334","0","0","0","0.7368421052631579","0.7368421052631579","0.7368421052631579","0.5714285714285714","0.5714285714285714","0.5714285714285714","0","0","0"
"9","9","9","9","0.47244094488188976","0.47244094488188976","0.47244094488188976","0","0","0","0","0","0","0.6829268292682927","0.6829268292682927","0.6829268292682927","0","0","0","0.375","0.375","0.375","0","0","0","0","0","0","0.6845238095238095","0.6845238095238095","0.6845238095238095","0.5781990521327014","0.5781990521327014","0.5781990521327014","0","0","0","0.5641025641025641","0.5641025641025641","0.5641025641025641","0.53125","0.53125","0.53125","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.4915254237288136","0.4915254237288136","0.4915254237288136","0.44776119402985076","0.44776119402985076","0.44776119402985076","0.6","0.6","0.6","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","1","1","1","0.23076923076923078","0.23076923076923078","0.23076923076923078","0","0","0","0.8461538461538461","0.8461538461538461","0.8461538461538461","1","1","1","0","0","0","0","0","0","1","1","1","0.9204545454545454","0.9204545454545454","0.9204545454545454","0.6283783783783784","0.6283783783783784","0.6283783783783784","0.8","0.8","0.8","0.5384615384615384","0.5384615384615384","0.5384615384615384","0","0","0","0.7222222222222222","0.7222222222222222","0.7222222222222222","0.5","0.5","0.5","0","0","0"
"10","10","10","10","0.3939393939393939","0.3939393939393939","0.3939393939393939","0","0","0","0","0","0","0.8333333333333334","0.8333333333333334","0.8333333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0.7348484848484849","0.7348484848484849","0.7348484848484849","0.5729166666666666","0.5729166666666666","0.5729166666666666","0","0","0","0.7391304347826086","0.7391304347826086","0.7391304347826086","0.4666666666666667","0.4666666666666667","0.4666666666666667","1","1","1","0.625","0.625","0.625","0.43333333333333335","0.43333333333333335","0.43333333333333335","0.5283018867924528","0.5283018867924528","0.5283018867924528","0.8571428571428571","0.8571428571428571","0.8571428571428571","0","0","0","0.6923076923076923","0.6923076923076923","0.6923076923076923","1","1","1","0.25","0.25","0.25","0","0","0","0.8461538461538461","0.8461538461538461","0.8461538461538461","1","1","1","0","0","0","0","0","0","1","1","1","0.9204545454545454","0.9204545454545454","0.9204545454545454","0.6487985212569316","0.6487985212569316","0.6487985212569316","0.8","0.8","0.8","0.7777777777777778","0.7777777777777778","0.7777777777777778","0","0","0","0.7619047619047619","0.7619047619047619","0.7619047619047619","0.5714285714285714","0.5714285714285714","0.5714285714285714","0","0","0"
