"epoch","noble-shadow-43 - _step","noble-shadow-43 - _step__MIN","noble-shadow-43 - _step__MAX","noble-shadow-43 - class_00/recall","noble-shadow-43 - class_00/recall__MIN","noble-shadow-43 - class_00/recall__MAX","noble-shadow-43 - class_01/recall","noble-shadow-43 - class_01/recall__MIN","noble-shadow-43 - class_01/recall__MAX","noble-shadow-43 - class_02/recall","noble-shadow-43 - class_02/recall__MIN","noble-shadow-43 - class_02/recall__MAX","noble-shadow-43 - class_03/recall","noble-shadow-43 - class_03/recall__MIN","noble-shadow-43 - class_03/recall__MAX","noble-shadow-43 - class_04/recall","noble-shadow-43 - class_04/recall__MIN","noble-shadow-43 - class_04/recall__MAX","noble-shadow-43 - class_05/recall","noble-shadow-43 - class_05/recall__MIN","noble-shadow-43 - class_05/recall__MAX","noble-shadow-43 - class_06/recall","noble-shadow-43 - class_06/recall__MIN","noble-shadow-43 - class_06/recall__MAX","noble-shadow-43 - class_07/recall","noble-shadow-43 - class_07/recall__MIN","noble-shadow-43 - class_07/recall__MAX","noble-shadow-43 - class_08/recall","noble-shadow-43 - class_08/recall__MIN","noble-shadow-43 - class_08/recall__MAX","noble-shadow-43 - class_09/recall","noble-shadow-43 - class_09/recall__MIN","noble-shadow-43 - class_09/recall__MAX","noble-shadow-43 - class_10/recall","noble-shadow-43 - class_10/recall__MIN","noble-shadow-43 - class_10/recall__MAX","noble-shadow-43 - class_11/recall","noble-shadow-43 - class_11/recall__MIN","noble-shadow-43 - class_11/recall__MAX","noble-shadow-43 - class_12/recall","noble-shadow-43 - class_12/recall__MIN","noble-shadow-43 - class_12/recall__MAX","noble-shadow-43 - class_13/recall","noble-shadow-43 - class_13/recall__MIN","noble-shadow-43 - class_13/recall__MAX","noble-shadow-43 - class_14/recall","noble-shadow-43 - class_14/recall__MIN","noble-shadow-43 - class_14/recall__MAX","noble-shadow-43 - class_15/recall","noble-shadow-43 - class_15/recall__MIN","noble-shadow-43 - class_15/recall__MAX","noble-shadow-43 - class_16/recall","noble-shadow-43 - class_16/recall__MIN","noble-shadow-43 - class_16/recall__MAX","noble-shadow-43 - class_17/recall","noble-shadow-43 - class_17/recall__MIN","noble-shadow-43 - class_17/recall__MAX","noble-shadow-43 - class_18/recall","noble-shadow-43 - class_18/recall__MIN","noble-shadow-43 - class_18/recall__MAX","noble-shadow-43 - class_19/recall","noble-shadow-43 - class_19/recall__MIN","noble-shadow-43 - class_19/recall__MAX","noble-shadow-43 - class_20/recall","noble-shadow-43 - class_20/recall__MIN","noble-shadow-43 - class_20/recall__MAX","noble-shadow-43 - class_21/recall","noble-shadow-43 - class_21/recall__MIN","noble-shadow-43 - class_21/recall__MAX","noble-shadow-43 - class_22/recall","noble-shadow-43 - class_22/recall__MIN","noble-shadow-43 - class_22/recall__MAX","noble-shadow-43 - class_23/recall","noble-shadow-43 - class_23/recall__MIN","noble-shadow-43 - class_23/recall__MAX","noble-shadow-43 - class_24/recall","noble-shadow-43 - class_24/recall__MIN","noble-shadow-43 - class_24/recall__MAX","noble-shadow-43 - class_25/recall","noble-shadow-43 - class_25/recall__MIN","noble-shadow-43 - class_25/recall__MAX","noble-shadow-43 - class_26/recall","noble-shadow-43 - class_26/recall__MIN","noble-shadow-43 - class_26/recall__MAX","noble-shadow-43 - class_27/recall","noble-shadow-43 - class_27/recall__MIN","noble-shadow-43 - class_27/recall__MAX","noble-shadow-43 - class_28/recall","noble-shadow-43 - class_28/recall__MIN","noble-shadow-43 - class_28/recall__MAX","noble-shadow-43 - class_29/recall","noble-shadow-43 - class_29/recall__MIN","noble-shadow-43 - class_29/recall__MAX","noble-shadow-43 - class_30/recall","noble-shadow-43 - class_30/recall__MIN","noble-shadow-43 - class_30/recall__MAX","noble-shadow-43 - class_31/recall","noble-shadow-43 - class_31/recall__MIN","noble-shadow-43 - class_31/recall__MAX","noble-shadow-43 - class_32/recall","noble-shadow-43 - class_32/recall__MIN","noble-shadow-43 - class_32/recall__MAX","noble-shadow-43 - class_33/recall","noble-shadow-43 - class_33/recall__MIN","noble-shadow-43 - class_33/recall__MAX","noble-shadow-43 - class_34/recall","noble-shadow-43 - class_34/recall__MIN","noble-shadow-43 - class_34/recall__MAX","noble-shadow-43 - class_35/recall","noble-shadow-43 - class_35/recall__MIN","noble-shadow-43 - class_35/recall__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9951219512195122","0.9951219512195122","0.9951219512195122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9170731707317074","0.9170731707317074","0.9170731707317074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.44871794871794873","0.44871794871794873","0.44871794871794873","0.29411764705882354","0.29411764705882354","0.29411764705882354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9534883720930233","0.9534883720930233","0.9534883720930233","0.948780487804878","0.948780487804878","0.948780487804878","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1346153846153846","0.1346153846153846","0.1346153846153846","0.5411764705882353","0.5411764705882353","0.5411764705882353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0","0","0","0.25","0.25","0.25","0","0","0","0","0","0","0","0","0","0.7333333333333333","0.7333333333333333","0.7333333333333333","0","0","0","0","0","0","0.2222222222222222","0.2222222222222222","0.2222222222222222","0.9651162790697675","0.9651162790697675","0.9651162790697675","0.9","0.9","0.9","0","0","0","0.25","0.25","0.25","0","0","0","0","0","0","0","0","0","0","0","0"
"4","4","4","4","0.020134228187919462","0.020134228187919462","0.020134228187919462","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3269230769230769","0.3269230769230769","0.3269230769230769","0.6705882352941176","0.6705882352941176","0.6705882352941176","0","0","0","0","0","0","0.09090909090909091","0.09090909090909091","0.09090909090909091","0","0","0","0.01818181818181818","0.01818181818181818","0.01818181818181818","0","0","0","0","0","0","0.4166666666666667","0.4166666666666667","0.4166666666666667","0","0","0","0","0","0","0","0","0","0.18181818181818182","0.18181818181818182","0.18181818181818182","0","0","0","0.75","0.75","0.75","0.7333333333333333","0.7333333333333333","0.7333333333333333","0","0","0","0","0","0","1","1","1","0.9534883720930233","0.9534883720930233","0.9534883720930233","0.8975609756097561","0.8975609756097561","0.8975609756097561","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0","0","0","0","0","0"
"5","5","5","5","0.006711409395973154","0.006711409395973154","0.006711409395973154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.32051282051282054","0.32051282051282054","0.32051282051282054","0.6470588235294118","0.6470588235294118","0.6470588235294118","0","0","0","0","0","0","0.16363636363636364","0.16363636363636364","0.16363636363636364","0.06896551724137931","0.06896551724137931","0.06896551724137931","0.14545454545454545","0.14545454545454545","0.14545454545454545","0","0","0","0","0","0","0.5","0.5","0.5","0","0","0","0.6","0.6","0.6","0.5","0.5","0.5","0.18181818181818182","0.18181818181818182","0.18181818181818182","0","0","0","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.7333333333333333","0.7333333333333333","0.7333333333333333","0","0","0","0","0","0","0.7777777777777778","0.7777777777777778","0.7777777777777778","0.9186046511627907","0.9186046511627907","0.9186046511627907","0.9048780487804878","0.9048780487804878","0.9048780487804878","0","0","0","0.25","0.25","0.25","0","0","0","0.85","0.85","0.85","0.2727272727272727","0.2727272727272727","0.2727272727272727","0","0","0"
"6","6","6","6","0.35570469798657717","0.35570469798657717","0.35570469798657717","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8397435897435898","0.8397435897435898","0.8397435897435898","0.7352941176470589","0.7352941176470589","0.7352941176470589","0","0","0","0","0","0","0.4727272727272727","0.4727272727272727","0.4727272727272727","0.034482758620689655","0.034482758620689655","0.034482758620689655","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","0","0","0","0.9","0.9","0.9","0.75","0.75","0.75","0.18181818181818182","0.18181818181818182","0.18181818181818182","0","0","0","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.7333333333333333","0.7333333333333333","0.7333333333333333","0","0","0","0","0","0","1","1","1","0.9534883720930233","0.9534883720930233","0.9534883720930233","0.8585365853658536","0.8585365853658536","0.8585365853658536","0","0","0","0.5","0.5","0.5","0","0","0","0.75","0.75","0.75","0.2727272727272727","0.2727272727272727","0.2727272727272727","0","0","0"
"7","7","7","7","0.4228187919463087","0.4228187919463087","0.4228187919463087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8846153846153846","0.8846153846153846","0.8846153846153846","0.6","0.6","0.6","0","0","0","0","0","0","0.2545454545454545","0.2545454545454545","0.2545454545454545","0.10344827586206896","0.10344827586206896","0.10344827586206896","0.21818181818181817","0.21818181818181817","0.21818181818181817","0.40625","0.40625","0.40625","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0","0","0","0.65","0.65","0.65","0.75","0.75","0.75","0.18181818181818182","0.18181818181818182","0.18181818181818182","0","0","0","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.8","0.8","0.8","0","0","0","0","0","0","1","1","1","0.9651162790697675","0.9651162790697675","0.9651162790697675","0.8682926829268293","0.8682926829268293","0.8682926829268293","0.3","0.3","0.3","0.4166666666666667","0.4166666666666667","0.4166666666666667","0","0","0","0.7","0.7","0.7","0.36363636363636365","0.36363636363636365","0.36363636363636365","0","0","0"
"8","8","8","8","0.40939597315436244","0.40939597315436244","0.40939597315436244","0","0","0","0","0","0","0.18421052631578946","0.18421052631578946","0.18421052631578946","0","0","0","0","0","0","0","0","0","0","0","0","0.6923076923076923","0.6923076923076923","0.6923076923076923","0.5764705882352941","0.5764705882352941","0.5764705882352941","0","0","0","0.29545454545454547","0.29545454545454547","0.29545454545454547","0.4909090909090909","0.4909090909090909","0.4909090909090909","0.06896551724137931","0.06896551724137931","0.06896551724137931","0.09090909090909091","0.09090909090909091","0.09090909090909091","0.421875","0.421875","0.421875","0.4305555555555556","0.4305555555555556","0.4305555555555556","0.5833333333333334","0.5833333333333334","0.5833333333333334","0","0","0","0.65","0.65","0.65","0.75","0.75","0.75","0.36363636363636365","0.36363636363636365","0.36363636363636365","0","0","0","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.8","0.8","0.8","0","0","0","0","0","0","1","1","1","0.9302325581395349","0.9302325581395349","0.9302325581395349","0.8634146341463415","0.8634146341463415","0.8634146341463415","0.4","0.4","0.4","0.5833333333333334","0.5833333333333334","0.5833333333333334","0","0","0","0.7","0.7","0.7","0.36363636363636365","0.36363636363636365","0.36363636363636365","0","0","0"
"9","9","9","9","0.40268456375838924","0.40268456375838924","0.40268456375838924","0","0","0","0","0","0","0.7368421052631579","0.7368421052631579","0.7368421052631579","0","0","0","0.23076923076923078","0.23076923076923078","0.23076923076923078","0","0","0","0","0","0","0.7371794871794872","0.7371794871794872","0.7371794871794872","0.7176470588235294","0.7176470588235294","0.7176470588235294","0","0","0","0.5","0.5","0.5","0.3090909090909091","0.3090909090909091","0.3090909090909091","0.034482758620689655","0.034482758620689655","0.034482758620689655","0.14545454545454545","0.14545454545454545","0.14545454545454545","0.453125","0.453125","0.453125","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.5","0.5","0.5","0","0","0","0.7","0.7","0.7","0.75","0.75","0.75","0.2727272727272727","0.2727272727272727","0.2727272727272727","0","0","0","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.7333333333333333","0.7333333333333333","0.7333333333333333","0","0","0","0","0","0","1","1","1","0.9418604651162791","0.9418604651162791","0.9418604651162791","0.9073170731707317","0.9073170731707317","0.9073170731707317","0.4","0.4","0.4","0.5833333333333334","0.5833333333333334","0.5833333333333334","0","0","0","0.65","0.65","0.65","0.36363636363636365","0.36363636363636365","0.36363636363636365","0","0","0"
